Security_Symbol,             ,Security_Type,Current_Pos_Limit,Current_NearTerm_Limit
ADN   ,               ,Equity,25000000  ,0         
ADNT  ,               ,Equity,25000000  ,0         
ADP   ,               ,Equity,25000000  ,0         
ADPT  ,               ,Equity,25000000  ,0         
ADSK  ,               ,Equity,25000000  ,0         
ADT   ,               ,Equity,25000000  ,0         
ADTN  ,               ,Equity,25000000  ,0         
ADTX  ,               ,Equity,25000000  ,0         
ADUS  ,               ,Equity,2500000   ,0         
ADV   ,               ,Equity,20000000  ,0         
ADVM  ,               ,Equity,25000000  ,0         
AEE   ,               ,Equity,25000000  ,0         
AEG   ,               ,Equity,25000000  ,0         
AEHR  ,               ,Equity,25000000  ,0         
AEIS  ,               ,Equity,5000000   ,0         
AEL   ,               ,Equity,20000000  ,0         
AEM   ,               ,Equity,75000000  ,0         
AEMD  ,               ,Equity,25000000  ,0         
AEO   ,               ,Equity,25000000  ,0         
AEP   ,               ,Equity,25000000  ,0         
AER   ,               ,Equity,25000000  ,0         
AES   ,               ,Equity,25000000  ,0         
AESI  ,               ,Equity,5000000   ,0         
AEVA  ,               ,Equity,25000000  ,0         
AEYE  ,               ,Equity,2500000   ,0         
AEZS  ,               ,Equity,25000000  ,0         
AFCG  ,               ,Equity,5000000   ,0         
AFG   ,               ,Equity,7500000   ,0         
AFIB  ,               ,Equity,7500000   ,0         
AFK   ,               ,Equity,2500000   ,0         
AFL   ,               ,Equity,25000000  ,0         
AFMD  ,               ,Equity,25000000  ,0         
AFRM  ,               ,Equity,25000000  ,0         
AFTY  ,               ,Equity,2500000   ,0         
AFYA  ,               ,Equity,5000000   ,0         
AG    ,               ,Equity,25000000  ,0         
AGCO  ,               ,Equity,20000000  ,0         
AGEN  ,               ,Equity,25000000  ,0         
AGG   ,               ,Equity,25000000  ,0         
AGGY  ,               ,Equity,5000000   ,0         
AGI   ,               ,Equity,25000000  ,0         
AGIO  ,               ,Equity,7500000   ,0         
AGL   ,               ,Equity,25000000  ,0         
AGLE  ,               ,Equity,25000000  ,0         
AGM   ,               ,Equity,2500000   ,0         
AGNC  ,               ,Equity,25000000  ,0         
AGNG  ,               ,Equity,2500000   ,0         
AGO   ,               ,Equity,7500000   ,0         
AGQ   ,               ,Equity,25000000  ,0         
AGR   ,               ,Equity,25000000  ,0         
AGRI  ,               ,Equity,7500000   ,0         
AGRO  ,               ,Equity,7500000   ,0         
AGS   ,               ,Equity,7500000   ,0         
AGTI  ,               ,Equity,7500000   ,0         
AGX   ,               ,Equity,2500000   ,0         
AGYS  ,               ,Equity,5000000   ,0         
AGZ   ,               ,Equity,2500000   ,0         
AHCO  ,               ,Equity,25000000  ,0         
AHH   ,               ,Equity,7500000   ,0         
AHOY  ,               ,Equity,2500000   ,0         
AHT   ,               ,Equity,25000000  ,0         
AI    ,               ,Equity,25000000  ,0         
AIA   ,               ,Equity,2500000   ,0         
AIEQ  ,               ,Equity,2500000   ,0         
AIG   ,               ,Equity,25000000  ,0         
AIN   ,               ,Equity,2500000   ,0         
AIP   ,               ,Equity,5000000   ,0         
AIQ   ,               ,Equity,2500000   ,0         
AIR   ,               ,Equity,7500000   ,0         
AIRC  ,               ,Equity,25000000  ,0         
AIRG  ,               ,Equity,2500000   ,0         
AIRR  ,               ,Equity,2500000   ,0         
AIRS  ,               ,Equity,5000000   ,0         
AIT   ,               ,Equity,5000000   ,0         
AIV   ,               ,Equity,25000000  ,0         
AIVI  ,               ,Equity,2500000   ,0         
AIVL  ,               ,Equity,2500000   ,0         
AIZ   ,               ,Equity,7500000   ,0         
AJG   ,               ,Equity,25000000  ,0         
AJRD  ,               ,Equity,25000000  ,0         
AJX   ,               ,Equity,2500000   ,0         
AKA   ,               ,Equity,7500000   ,0         
AKAM  ,               ,Equity,25000000  ,0         
AKBA  ,               ,Equity,25000000  ,0         
AKLI  ,               ,Equity,7500000   ,0         
AKR   ,               ,Equity,20000000  ,0         
AKRO  ,               ,Equity,25000000  ,0         
AKTS  ,               ,Equity,20000000  ,0         
AKYA  ,               ,Equity,5000000   ,0         
AL    ,               ,Equity,25000000  ,0         
ALB   ,               ,Equity,25000000  ,0         
ALC   ,               ,Equity,25000000  ,0         
ALDX  ,               ,Equity,25000000  ,0         
ALE   ,               ,Equity,7500000   ,0         
ALEC  ,               ,Equity,25000000  ,0         
ALEX  ,               ,Equity,5000000   ,0         
ALG   ,               ,Equity,2500000   ,0         
ALGM  ,               ,Equity,25000000  ,0         
ALGN  ,               ,Equity,25000000  ,0         
ALGS  ,               ,Equity,5000000   ,0         
ALGT  ,               ,Equity,5000000   ,0         
ALHC  ,               ,Equity,25000000  ,0         
ALIT  ,               ,Equity,25000000  ,0         
ALK   ,               ,Equity,25000000  ,0         
ALKS  ,               ,Equity,25000000  ,0         
ALKT  ,               ,Equity,5000000   ,0         
ALL   ,               ,Equity,25000000  ,0         
ALLE  ,               ,Equity,20000000  ,0         
ALLG  ,               ,Equity,7500000   ,0         
ALLK  ,               ,Equity,25000000  ,0         
ALLO  ,               ,Equity,25000000  ,0         
ALLT  ,               ,Equity,2500000   ,0         
ALLY  ,               ,Equity,25000000  ,0         
ALNY  ,               ,Equity,25000000  ,0         
ALPN  ,               ,Equity,5000000   ,0         
ALPP  ,               ,Equity,7500000   ,0         
ALRM  ,               ,Equity,5000000   ,0         
ALRS  ,               ,Equity,2500000   ,0         
ALSN  ,               ,Equity,25000000  ,0         
ALT   ,               ,Equity,25000000  ,0         
ALTG  ,               ,Equity,5000000   ,0         
ALTL  ,               ,Equity,5000000   ,0         
ALTO  ,               ,Equity,25000000  ,0         
ALTR  ,               ,Equity,5000000   ,0         
ALTU  ,               ,Equity,2500000   ,0         
ALTY  ,               ,Equity,2500000   ,0         
ALV   ,               ,Equity,25000000  ,0         
ALVR  ,               ,Equity,7500000   ,0         
ALXO  ,               ,Equity,7500000   ,0         
ALZN  ,               ,Equity,25000000  ,0         
AM    ,               ,Equity,25000000  ,0         
AMAL  ,               ,Equity,5000000   ,0         
AMAM  ,               ,Equity,25000000  ,0         
AMAT  ,               ,Equity,25000000  ,0         
AMBA  ,               ,Equity,20000000  ,0         
AMBC  ,               ,Equity,25000000  ,0         
AMBP  ,               ,Equity,25000000  ,0         
AMC   ,               ,Equity,25000000  ,0         
AMCR  ,               ,Equity,25000000  ,0         
AMCX  ,               ,Equity,25000000  ,0         
AMD   ,               ,Equity,68000000  ,0         
AME   ,               ,Equity,25000000  ,0         
AMED  ,               ,Equity,7500000   ,0         
AMEH  ,               ,Equity,7500000   ,0         
AMG   ,               ,Equity,5000000   ,0         
AMGN  ,               ,Equity,25000000  ,0         
AMH   ,               ,Equity,25000000  ,0         
AMJ   ,               ,Equity,7500000   ,0         
AMK   ,               ,Equity,5000000   ,0         
AMKR  ,               ,Equity,25000000  ,0         
AMLP  ,               ,Equity,25000000  ,0         
AMLX  ,               ,Equity,25000000  ,0         
AMN   ,               ,Equity,20000000  ,0         
AMNB  ,               ,Equity,2500000   ,0         
AMOM  ,               ,Equity,2500000   ,0         
AMOT  ,               ,Equity,2500000   ,0         
AMP   ,               ,Equity,7500000   ,0         
AMPE  ,               ,Equity,25000000  ,0         
AMPH  ,               ,Equity,7500000   ,0         
AMPL  ,               ,Equity,7500000   ,0         
AMPS  ,               ,Equity,25000000  ,0         
AMPX  ,               ,Equity,25000000  ,0         
AMPY  ,               ,Equity,25000000  ,0         
AMR   ,               ,Equity,7500000   ,0         
AMRC  ,               ,Equity,7500000   ,0         
AMRK  ,               ,Equity,5000000   ,0         
AMRN  ,               ,Equity,25000000  ,0         
AMRS  ,               ,Equity,25000000  ,0         
AMRX  ,               ,Equity,25000000  ,0         
AMSC  ,               ,Equity,5000000   ,0         
AMSF  ,               ,Equity,2500000   ,0         
AMSWA ,               ,Equity,5000000   ,0         
AMT   ,               ,Equity,25000000  ,0         
AMTB  ,               ,Equity,2500000   ,0         
AMTI  ,               ,Equity,5000000   ,0         
AMTX  ,               ,Equity,25000000  ,0         
AMWD  ,               ,Equity,2500000   ,0         
AMWL  ,               ,Equity,25000000  ,0         
AMX   ,               ,Equity,25000000  ,0         
AMZA  ,               ,Equity,2500000   ,0         
AMZN  ,               ,Equity,500000000 ,0         
AN    ,               ,Equity,25000000  ,0         
ANAB  ,               ,Equity,5000000   ,0         
ANDE  ,               ,Equity,5000000   ,0         
ANET  ,               ,Equity,100000000 ,0         
ANEW  ,               ,Equity,2500000   ,0         
ANF   ,               ,Equity,25000000  ,0         
ANGI  ,               ,Equity,25000000  ,0         
ANGL  ,               ,Equity,25000000  ,0         
ANGO  ,               ,Equity,7500000   ,0         
ANIK  ,               ,Equity,2500000   ,0         
ANIP  ,               ,Equity,2500000   ,0         
ANIX  ,               ,Equity,2500000   ,0         
ANNX  ,               ,Equity,20000000  ,0         
ANSS  ,               ,Equity,7500000   ,0         
ANY   ,               ,Equity,25000000  ,0         
AOA   ,               ,Equity,2500000   ,0         
AOM   ,               ,Equity,5000000   ,0         
AON   ,               ,Equity,25000000  ,0         
AOR   ,               ,Equity,7500000   ,0         
AORT  ,               ,Equity,5000000   ,0         
AOS   ,               ,Equity,25000000  ,0         
AOSL  ,               ,Equity,5000000   ,0         
AOUT  ,               ,Equity,5000000   ,0         
AP    ,               ,Equity,2500000   ,0         
APA   ,               ,Equity,25000000  ,0         
APAM  ,               ,Equity,20000000  ,0         
APD   ,               ,Equity,25000000  ,0         
APDN  ,               ,Equity,25000000  ,0         
APEI  ,               ,Equity,5000000   ,0         
APG   ,               ,Equity,25000000  ,0         
APGN  ,               ,Equity,25000000  ,0         
APH   ,               ,Equity,25000000  ,0         
API   ,               ,Equity,25000000  ,0         
APLD  ,               ,Equity,25000000  ,0         
APLE  ,               ,Equity,25000000  ,0         
APLS  ,               ,Equity,25000000  ,0         
APLT  ,               ,Equity,7500000   ,0         
APLY  ,               ,Equity,2500000   ,0         
APO   ,               ,Equity,25000000  ,0         
APOG  ,               ,Equity,5000000   ,0         
APP   ,               ,Equity,25000000  ,0         
APPF  ,               ,Equity,2500000   ,0         
APPH  ,               ,Equity,25000000  ,0         
APPN  ,               ,Equity,25000000  ,0         
APPS  ,               ,Equity,25000000  ,0         
APRE  ,               ,Equity,25000000  ,0         
APRN  ,               ,Equity,25000000  ,0         
APT   ,               ,Equity,25000000  ,0         
APTO  ,               ,Equity,5000000   ,0         
APTV  ,               ,Equity,25000000  ,0         
APTX  ,               ,Equity,25000000  ,0         
APYX  ,               ,Equity,7500000   ,0         
AQB   ,               ,Equity,25000000  ,0         
AQMS  ,               ,Equity,25000000  ,0         
AQN   ,               ,Equity,25000000  ,0         
AQST  ,               ,Equity,7500000   ,0         
AQWA  ,               ,Equity,2500000   ,0         
AR    ,               ,Equity,25000000  ,0         
ARAV  ,               ,Equity,7500000   ,0         
ARAY  ,               ,Equity,7500000   ,0         
ARBE  ,               ,Equity,7500000   ,0         
ARBK  ,               ,Equity,7500000   ,0         
ARC   ,               ,Equity,5000000   ,0         
ARCB  ,               ,Equity,7500000   ,0         
ARCC  ,               ,Equity,25000000  ,0         
ARCE  ,               ,Equity,5000000   ,0         
ARCH  ,               ,Equity,20000000  ,0         
ARCO  ,               ,Equity,25000000  ,0         
ARCT  ,               ,Equity,25000000  ,0         
ARDS  ,               ,Equity,25000000  ,0         
ARDX  ,               ,Equity,25000000  ,0         
ARE   ,               ,Equity,25000000  ,0         
AREC  ,               ,Equity,25000000  ,0         
AREN  ,               ,Equity,2500000   ,0         
ARES  ,               ,Equity,25000000  ,0         
ARGO  ,               ,Equity,7500000   ,0         
ARGT  ,               ,Equity,2500000   ,0         
ARGX  ,               ,Equity,5000000   ,0         
ARHS  ,               ,Equity,25000000  ,0         
ARI   ,               ,Equity,25000000  ,0         
ARIS  ,               ,Equity,7500000   ,0         
ARKF  ,               ,Equity,25000000  ,0         
ARKG  ,               ,Equity,25000000  ,0         
ARKK  ,               ,Equity,25000000  ,0         
ARKO  ,               ,Equity,7500000   ,0         
ARKQ  ,               ,Equity,7500000   ,0         
ARKW  ,               ,Equity,25000000  ,0         
ARKX  ,               ,Equity,5000000   ,0         
ARLO  ,               ,Equity,25000000  ,0         
ARLP  ,               ,Equity,20000000  ,0         
ARMK  ,               ,Equity,25000000  ,0         
ARMP  ,               ,Equity,2500000   ,0         
ARNC  ,               ,Equity,25000000  ,0         
AROC  ,               ,Equity,25000000  ,0         
AROW  ,               ,Equity,2500000   ,0         
ARQQ  ,               ,Equity,25000000  ,0         
ARQT  ,               ,Equity,25000000  ,0         
ARR   ,               ,Equity,25000000  ,0         
ARRY  ,               ,Equity,25000000  ,0         
ARVL  ,               ,Equity,25000000  ,0         
ARVN  ,               ,Equity,7500000   ,0         
ARVR  ,               ,Equity,2500000   ,0         
ARW   ,               ,Equity,7500000   ,0         
ARWR  ,               ,Equity,25000000  ,0         
ASA   ,               ,Equity,2500000   ,0         
ASAI  ,               ,Equity,25000000  ,0         
ASAN  ,               ,Equity,25000000  ,0         
ASAP  ,               ,Equity,25000000  ,0         
ASB   ,               ,Equity,25000000  ,0         
ASC   ,               ,Equity,25000000  ,0         
ASEA  ,               ,Equity,2500000   ,0         
ASGN  ,               ,Equity,5000000   ,0         
ASH   ,               ,Equity,7500000   ,0         
ASHR  ,               ,Equity,25000000  ,0         
ASHS  ,               ,Equity,2500000   ,0         
ASHX  ,               ,Equity,2500000   ,0         
ASIX  ,               ,Equity,5000000   ,0         
ASLE  ,               ,Equity,5000000   ,0         
ASLN  ,               ,Equity,5000000   ,0         
ASMB  ,               ,Equity,7500000   ,0         
ASML  ,               ,Equity,25000000  ,0         
ASND  ,               ,Equity,7500000   ,0         
ASO   ,               ,Equity,25000000  ,0         
ASPN  ,               ,Equity,25000000  ,0         
ASPU  ,               ,Equity,7500000   ,0         
ASPY  ,               ,Equity,2500000   ,0         
ASR   ,               ,Equity,2500000   ,0         
ASRT  ,               ,Equity,25000000  ,0         
ASRV  ,               ,Equity,2500000   ,0         
ASTE  ,               ,Equity,2500000   ,0         
ASTI  ,               ,Equity,25000000  ,0         
ASTL  ,               ,Equity,25000000  ,0         
ASTR  ,               ,Equity,25000000  ,0         
ASTS  ,               ,Equity,25000000  ,0         
ASUR  ,               ,Equity,5000000   ,0         
ASX   ,               ,Equity,25000000  ,0         
ASXC  ,               ,Equity,25000000  ,0         
ASYS  ,               ,Equity,2500000   ,0         
ATAI  ,               ,Equity,25000000  ,0         
ATEC  ,               ,Equity,25000000  ,0         
ATEN  ,               ,Equity,25000000  ,0         
ATER  ,               ,Equity,25000000  ,0         
ATEX  ,               ,Equity,2500000   ,0         
ATGE  ,               ,Equity,7500000   ,0         
ATHA  ,               ,Equity,20000000  ,0         
ATHM  ,               ,Equity,25000000  ,0         
ATHX  ,               ,Equity,25000000  ,0         
ATI   ,               ,Equity,25000000  ,0         
ATIP  ,               ,Equity,25000000  ,0         
ATKR  ,               ,Equity,7500000   ,0         
ATLC  ,               ,Equity,2500000   ,0         
ATLO  ,               ,Equity,2500000   ,0         
ATMP  ,               ,Equity,2500000   ,0         
ATNF  ,               ,Equity,25000000  ,0         
ATNI  ,               ,Equity,2500000   ,0         
ATNM  ,               ,Equity,7500000   ,0         
ATO   ,               ,Equity,25000000  ,0         
ATOM  ,               ,Equity,20000000  ,0         
ATOS  ,               ,Equity,25000000  ,0         
ATR   ,               ,Equity,5000000   ,0         
ATRA  ,               ,Equity,25000000  ,0         
ATRC  ,               ,Equity,5000000   ,0         
ATRO  ,               ,Equity,5000000   ,0         
ATSG  ,               ,Equity,7500000   ,0         
ATUS  ,               ,Equity,25000000  ,0         
ATVI  ,               ,Equity,25000000  ,0         
ATXS  ,               ,Equity,5000000   ,0         
AU    ,               ,Equity,25000000  ,0         
AUB   ,               ,Equity,20000000  ,0         
AUDAD ,               ,Equity,25000000  ,0         
AUDC  ,               ,Equity,5000000   ,0         
AUGX  ,               ,Equity,7500000   ,0         
AULT  ,               ,Equity,25000000  ,0         
AUMN  ,               ,Equity,20000000  ,0         
AUPH  ,               ,Equity,25000000  ,0         
AUR   ,               ,Equity,25000000  ,0         
AURA  ,               ,Equity,2500000   ,0         
AUTL  ,               ,Equity,7500000   ,0         
AVA   ,               ,Equity,20000000  ,0         
AVAH  ,               ,Equity,7500000   ,0         
AVAV  ,               ,Equity,5000000   ,0         
AVB   ,               ,Equity,25000000  ,0         
AVD   ,               ,Equity,5000000   ,0         
AVDE  ,               ,Equity,7500000   ,0         
AVDL  ,               ,Equity,25000000  ,0         
AVDV  ,               ,Equity,5000000   ,0         
AVDX  ,               ,Equity,25000000  ,0         
AVEM  ,               ,Equity,7500000   ,0         
AVGO  ,               ,Equity,25000000  ,0         
AVID  ,               ,Equity,7500000   ,0         
AVIR  ,               ,Equity,25000000  ,0         
AVLV  ,               ,Equity,2500000   ,0         
AVNS  ,               ,Equity,5000000   ,0         
AVNT  ,               ,Equity,7500000   ,0         
AVNW  ,               ,Equity,2500000   ,0         
AVO   ,               ,Equity,5000000   ,0         
AVPT  ,               ,Equity,25000000  ,0         
AVRE  ,               ,Equity,2500000   ,0         
AVRO  ,               ,Equity,25000000  ,0         
AVT   ,               ,Equity,25000000  ,0         
AVTA  ,               ,Equity,7500000   ,0         
AVTR  ,               ,Equity,25000000  ,0         
AVUS  ,               ,Equity,7500000   ,0         
AVUV  ,               ,Equity,20000000  ,0         
AVXL  ,               ,Equity,25000000  ,0         
AVY   ,               ,Equity,7500000   ,0         
AWAY  ,               ,Equity,5000000   ,0         
AWH   ,               ,Equity,7500000   ,0         
AWI   ,               ,Equity,7500000   ,0         
AWK   ,               ,Equity,25000000  ,0         
AWR   ,               ,Equity,5000000   ,0         
AWRE  ,               ,Equity,2500000   ,0         
AX    ,               ,Equity,7500000   ,0         
AXDX  ,               ,Equity,20000000  ,0         
AXGN  ,               ,Equity,5000000   ,0         
AXL   ,               ,Equity,25000000  ,0         
AXLA  ,               ,Equity,7500000   ,0         
AXNX  ,               ,Equity,7500000   ,0         
AXON  ,               ,Equity,25000000  ,0         
AXP   ,               ,Equity,25000000  ,0         
AXS   ,               ,Equity,7500000   ,0         
AXSM  ,               ,Equity,25000000  ,0         
AXTA  ,               ,Equity,25000000  ,0         
AXTI  ,               ,Equity,5000000   ,0         
AY    ,               ,Equity,20000000  ,0         
AYI   ,               ,Equity,7500000   ,0         
AYRO  ,               ,Equity,25000000  ,0         
AYX   ,               ,Equity,25000000  ,0         
AZEK  ,               ,Equity,25000000  ,0         
AZN   ,               ,Equity,25000000  ,0         
AZO   ,               ,Equity,5000000   ,0         
AZPN  ,               ,Equity,5000000   ,0         
AZREF ,               ,Equity,7500000   ,0         
AZTA  ,               ,Equity,25000000  ,0         
AZUL  ,               ,Equity,25000000  ,0         
AZZ   ,               ,Equity,2500000   ,0         
B     ,               ,Equity,5000000   ,0         
BA    ,               ,Equity,25000000  ,0         
BAB   ,               ,Equity,20000000  ,0         
BABA  ,               ,Equity,25000000  ,0         
BAC   ,               ,Equity,25000000  ,0         
BAD   ,               ,Equity,2500000   ,0         
BAH   ,               ,Equity,25000000  ,0         
BALL  ,               ,Equity,25000000  ,0         
BALT  ,               ,Equity,2500000   ,0         
BALY  ,               ,Equity,7500000   ,0         
BAM   ,               ,Equity,25000000  ,0         
BANC  ,               ,Equity,7500000   ,0         
BAND  ,               ,Equity,20000000  ,0         
BANF  ,               ,Equity,2500000   ,0         
BANR  ,               ,Equity,5000000   ,0         
BANX  ,               ,Equity,2500000   ,0         
BAP   ,               ,Equity,7500000   ,0         
BARK  ,               ,Equity,25000000  ,0         
BASE  ,               ,Equity,5000000   ,0         
BATRA ,               ,Equity,2500000   ,0         
BATRK ,               ,Equity,5000000   ,0         
BATT  ,               ,Equity,2500000   ,0         
BAX   ,               ,Equity,25000000  ,0         
BB    ,               ,Equity,25000000  ,0         
BBAI  ,               ,Equity,25000000  ,0         
BBAR  ,               ,Equity,25000000  ,0         
BBAX  ,               ,Equity,7500000   ,0         
BBBYQ ,               ,Equity,25000000  ,0         
BBC   ,               ,Equity,2500000   ,0         
BBCA  ,               ,Equity,5000000   ,0         
BBCP  ,               ,Equity,2500000   ,0         
BBD   ,               ,Equity,43923000  ,0         
BBDC  ,               ,Equity,7500000   ,0         
BBEU  ,               ,Equity,25000000  ,0         
BBH   ,               ,Equity,2500000   ,0         
BBIG  ,               ,Equity,25000000  ,0         
BBIN  ,               ,Equity,5000000   ,0         
BBIO  ,               ,Equity,25000000  ,0         
BBJP  ,               ,Equity,7500000   ,0         
BBP   ,               ,Equity,2500000   ,0         
BBSI  ,               ,Equity,2500000   ,0         
BBU   ,               ,Equity,2500000   ,0         
BBUC  ,               ,Equity,2500000   ,0         
BBUS  ,               ,Equity,2500000   ,0         
BBVA  ,               ,Equity,25000000  ,0         
BBW   ,               ,Equity,7500000   ,0         
BBWI  ,               ,Equity,25000000  ,0         
BBY   ,               ,Equity,25000000  ,0         
BC    ,               ,Equity,25000000  ,0         
BCAB  ,               ,Equity,20000000  ,0         
BCBP  ,               ,Equity,2500000   ,0         
BCC   ,               ,Equity,5000000   ,0         
BCD   ,               ,Equity,2500000   ,0         
BCDA  ,               ,Equity,25000000  ,0         
BCE   ,               ,Equity,25000000  ,0         
BCEL  ,               ,Equity,2500000   ,0         
BCH   ,               ,Equity,2500000   ,0         
BCI   ,               ,Equity,7500000   ,0         
BCIM  ,               ,Equity,2500000   ,0         
BCLI  ,               ,Equity,7500000   ,0         
BCML  ,               ,Equity,2500000   ,0         
BCO   ,               ,Equity,5000000   ,0         
BCOV  ,               ,Equity,5000000   ,0         
BCPC  ,               ,Equity,2500000   ,0         
BCRX  ,               ,Equity,25000000  ,0         
BCS   ,               ,Equity,25000000  ,0         
BCSF  ,               ,Equity,5000000   ,0         
BCTX  ,               ,Equity,5000000   ,0         
BCYC  ,               ,Equity,7500000   ,0         
BDC   ,               ,Equity,5000000   ,0         
BDN   ,               ,Equity,25000000  ,0         
BDRY  ,               ,Equity,7500000   ,0         
BDSX  ,               ,Equity,5000000   ,0         
BDTX  ,               ,Equity,25000000  ,0         
BDX   ,               ,Equity,25000000  ,0         
BE    ,               ,Equity,25000000  ,0         
BEAM  ,               ,Equity,25000000  ,0         
BECN  ,               ,Equity,7500000   ,0         
BEDZ  ,               ,Equity,2500000   ,0         
BEEM  ,               ,Equity,5000000   ,0         
BEKE  ,               ,Equity,25000000  ,0         
BELFB ,               ,Equity,2500000   ,0         
BEN   ,               ,Equity,25000000  ,0         
BEP   ,               ,Equity,7500000   ,0         
BEPC  ,               ,Equity,20000000  ,0         
BERY  ,               ,Equity,25000000  ,0         
BEST  ,               ,Equity,5000000   ,0         
BETZ  ,               ,Equity,2500000   ,0         
BFA   ,               ,Equity,2500000   ,0         
BFAM  ,               ,Equity,7500000   ,0         
BFB   ,               ,Equity,25000000  ,0         
BFH   ,               ,Equity,25000000  ,0         
BFI   ,               ,Equity,7500000   ,0         
BFIN  ,               ,Equity,2500000   ,0         
BFIT  ,               ,Equity,2500000   ,0         
BFIX  ,               ,Equity,2500000   ,0         
BFLY  ,               ,Equity,25000000  ,0         
BFOR  ,               ,Equity,2500000   ,0         
BFRI  ,               ,Equity,25000000  ,0         
BFS   ,               ,Equity,2500000   ,0         
BFST  ,               ,Equity,2500000   ,0         
BFTR  ,               ,Equity,2500000   ,0         
BG    ,               ,Equity,25000000  ,0         
BGC   ,               ,Equity,25000000  ,0         
BGFV  ,               ,Equity,25000000  ,0         
BGNE  ,               ,Equity,7500000   ,0         
BGRY  ,               ,Equity,25000000  ,0         
BGS   ,               ,Equity,25000000  ,0         
BGSF  ,               ,Equity,2500000   ,0         
BGXX  ,               ,Equity,25000000  ,0         
BHB   ,               ,Equity,2500000   ,0         
BHC   ,               ,Equity,25000000  ,0         
BHE   ,               ,Equity,5000000   ,0         
BHF   ,               ,Equity,20000000  ,0         
BHG   ,               ,Equity,25000000  ,0         
BHIL  ,               ,Equity,25000000  ,0         
